uris,rxCnt,rangingCnt
"radio://0/10/2M,radio://0/10/2M",0,0
"radio://0/10/2M,radio://0/20/2M",5451,3563
"radio://0/10/2M,radio://0/30/2M",5371,3540
"radio://0/10/2M,radio://0/40/2M",5432,3701
"radio://0/20/2M,radio://0/10/2M",5348,3571
"radio://0/20/2M,radio://0/20/2M",0,0
"radio://0/20/2M,radio://0/30/2M",5274,3517
"radio://0/20/2M,radio://0/40/2M",5306,3535
"radio://0/30/2M,radio://0/10/2M",5376,3489
"radio://0/30/2M,radio://0/20/2M",5417,3509
"radio://0/30/2M,radio://0/30/2M",0,0
"radio://0/30/2M,radio://0/40/2M",5391,3581
"radio://0/40/2M,radio://0/10/2M",5494,3718
"radio://0/40/2M,radio://0/20/2M",5417,3535
"radio://0/40/2M,radio://0/30/2M",5407,3643
"radio://0/40/2M,radio://0/40/2M",0,0
